2015-06-23 17:01:56 INFO  [main]  com.trendrr.nsq.benchmark.Producer - 
2015-06-23 17:02:28 WARN  [New I/O worker #2]  com.trendrr.nsq.Connections - Does not contain : 192.168.66.239:41503: NSQCONNECTION : com.trendrr.nsq.Connection@46c2e53a 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #5]  com.trendrr.nsq.netty.NSQHandler - NSQHandler exception caught
2015-06-23 17:02:28 WARN  [New I/O worker #8]  com.trendrr.nsq.netty.NSQHandler - Channel disconnected! NSQCONNECTION : com.trendrr.nsq.Connection@48d4e45e 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #6]  com.trendrr.nsq.netty.NSQHandler - Channel disconnected! NSQCONNECTION : com.trendrr.nsq.Connection@63f8e654 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #1]  com.trendrr.nsq.AbstractNSQClient - Disconnected!NSQCONNECTION : com.trendrr.nsq.Connection@69ce2b6 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #2]  com.trendrr.nsq.netty.NSQHandler - NSQHandler exception caught
2015-06-23 17:02:28 WARN  [New I/O worker #1]  com.trendrr.nsq.Connections - Does not contain : 192.168.66.239:41503: NSQCONNECTION : com.trendrr.nsq.Connection@69ce2b6 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #7]  com.trendrr.nsq.netty.NSQHandler - Channel disconnected! NSQCONNECTION : com.trendrr.nsq.Connection@35dc1914 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #4]  com.trendrr.nsq.AbstractNSQClient - Disconnected!NSQCONNECTION : com.trendrr.nsq.Connection@5ff91864 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #4]  com.trendrr.nsq.Connections - Does not contain : 192.168.66.239:41503: NSQCONNECTION : com.trendrr.nsq.Connection@5ff91864 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #1]  com.trendrr.nsq.netty.NSQHandler - NSQHandler exception caught
2015-06-23 17:02:28 WARN  [New I/O worker #3]  com.trendrr.nsq.AbstractNSQClient - Disconnected!NSQCONNECTION : com.trendrr.nsq.Connection@582955a7 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #3]  com.trendrr.nsq.Connections - Does not contain : 192.168.66.239:41503: NSQCONNECTION : com.trendrr.nsq.Connection@582955a7 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #4]  com.trendrr.nsq.netty.NSQHandler - NSQHandler exception caught
2015-06-23 17:02:28 WARN  [New I/O worker #4]  com.trendrr.nsq.AbstractNSQClient - Disconnected!NSQCONNECTION : com.trendrr.nsq.Connection@5ff91864 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #3]  com.trendrr.nsq.netty.NSQHandler - NSQHandler exception caught
2015-06-23 17:02:28 WARN  [New I/O worker #4]  com.trendrr.nsq.Connections - Does not contain : 192.168.66.239:41503: NSQCONNECTION : com.trendrr.nsq.Connection@5ff91864 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #4]  com.trendrr.nsq.netty.NSQHandler - NSQHandler exception caught
2015-06-23 17:02:28 WARN  [New I/O worker #1]  com.trendrr.nsq.AbstractNSQClient - Disconnected!NSQCONNECTION : com.trendrr.nsq.Connection@69ce2b6 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #1]  com.trendrr.nsq.Connections - Does not contain : 192.168.66.239:41503: NSQCONNECTION : com.trendrr.nsq.Connection@69ce2b6 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #1]  com.trendrr.nsq.netty.NSQHandler - NSQHandler exception caught
2015-06-23 17:02:28 WARN  [New I/O worker #7]  com.trendrr.nsq.AbstractNSQClient - Disconnected!NSQCONNECTION : com.trendrr.nsq.Connection@35dc1914 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #7]  com.trendrr.nsq.Connections - REMOVED: 192.168.66.239:41503
2015-06-23 17:02:28 WARN  [New I/O worker #2]  com.trendrr.nsq.AbstractNSQClient - Disconnected!NSQCONNECTION : com.trendrr.nsq.Connection@46c2e53a 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #2]  com.trendrr.nsq.Connections - Does not contain : 192.168.66.239:41503: NSQCONNECTION : com.trendrr.nsq.Connection@46c2e53a 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #7]  com.trendrr.nsq.netty.NSQHandler - NSQHandler exception caught
2015-06-23 17:02:28 WARN  [New I/O worker #2]  com.trendrr.nsq.netty.NSQHandler - NSQHandler exception caught
2015-06-23 17:02:28 WARN  [New I/O worker #7]  com.trendrr.nsq.AbstractNSQClient - Disconnected!NSQCONNECTION : com.trendrr.nsq.Connection@35dc1914 192.168.66.239 : 41503
2015-06-23 17:02:28 WARN  [New I/O worker #7]  com.trendrr.nsq.Connections - Does not contain : 192.168.66.239:41503: NSQCONNECTION : com.trendrr.nsq.Connection@35dc1914 192.168.66.239 : 41503
